Codigo Dane,Municipio,Longitud,Latitud
15001,TUNJA,"-73,355539","5,53988"
15022,ALMEIDA,"-73,378933","4,970857"
15047,AQUITANIA,"-72,88399","5,518602"
15051,ARCABUCO,"-73,437503","5,755673"
15087,BELÉN,"-72,911641","5,98923"
15090,BERBEO,"-73,12721","5,227451"
15092,BETÉITIVA,"-72,809014","5,909978"
15097,BOAVITA,"-72,584905","6,330703"
15104,BOYACÁ,"-73,361945","5,454578"
15106,BRICEÑO,"-73,92326","5,690879"
15109,BUENAVISTA,"-73,94217","5,512594"
15114,BUSBANZÁ,"-72,884158","5,831393"
15131,CALDAS,"-73,865553","5,55458"
15135,CAMPOHERMOSO,"-73,104173","5,031676"
15162,CERINZA,"-72,947918","5,955939"
15172,CHINAVITA,"-73,368476","5,167486"
15176,CHIQUINQUIRÁ,"-73,818745","5,61379"
15180,CHISCAS,"-72,500957","6,553136"
15183,CHITA,"-72,471892","6,187083"
15185,CHITARAQUE,"-73,4471","6,027425"
15187,CHIVATÁ,"-73,282529","5,558949"
15189,CIÉNEGA,"-73,296049","5,408694"
15204,CÓMBITA,"-73,323957","5,634545"
15212,COPER,"-74,045636","5,475074"
15215,CORRALES,"-72,844795","5,828064"
15218,COVARACHÍA,"-72,738978","6,500177"
15223,CUBARÁ,"-72,107939","6,997275"
15224,CUCAITA,"-73,454338","5,544452"
15226,CUÍTIVA,"-72,965923","5,580367"
15232,CHÍQUIZA,"-73,449463","5,639834"
15236,CHIVOR,"-73,368398","4,888173"
15238,DUITAMA,"-73,03063","5,822964"
15244,EL COCUY,"-72,444537","6,407738"
15248,EL ESPINO,"-72,497007","6,483027"
15272,FIRAVITOBA,"-72,993392","5,668885"
15276,FLORESTA,"-72,918111","5,859519"
15293,GACHANTIVÁ,"-73,549092","5,751891"
15296,GÁMEZA,"-72,80553","5,802333"
15299,GARAGOA,"-73,364413","5,083234"
15317,GUACAMAYAS,"-72,500812","6,459667"
15322,GUATEQUE,"-73,471207","5,007321"
15325,GUAYATÁ,"-73,489698","4,967122"
15332,GÜICÁN DE LA SIERRA,"-72,411763","6,462864"
15362,IZA,"-72,979559","5,611577"
15367,JENESANO,"-73,363738","5,385813"
15368,JERICÓ,"-72,571122","6,145735"
15377,LABRANZAGRANDE,"-72,57777","5,562687"
15380,LA CAPILLA,"-73,444347","5,095687"
15401,LA VICTORIA,"-74,234393","5,523792"
15403,LA UVITA,"-72,559982","6,31616"
15407,VILLA DE LEYVA,"-73,524948","5,632455"
15425,MACANAL,"-73,319593","4,972464"
15442,MARIPÍ,"-74,00405","5,550091"
15455,MIRAFLORES,"-73,14563","5,196515"
15464,MONGUA,"-72,79809","5,754242"
15466,MONGUÍ,"-72,849292","5,723486"
15469,MONIQUIRÁ,"-73,573374","5,876331"
15476,MOTAVITA,"-73,367841","5,5777"
15480,MUZO,"-74,10269","5,532758"
15491,NOBSA,"-72,937042","5,768046"
15494,NUEVO COLÓN,"-73,456759","5,355317"
15500,OICATÁ,"-73,308399","5,595235"
15507,OTANCHE,"-74,180965","5,657536"
15511,PACHAVITA,"-73,396953","5,140065"
15514,PÁEZ,"-73,052737","5,097319"
15516,PAIPA,"-73,11782","5,779894"
15518,PAJARITO,"-72,703231","5,293783"
15522,PANQUEBA,"-72,459424","6,443416"
15531,PAUNA,"-73,978449","5,656323"
15533,PAYA,"-72,423775","5,625699"
15537,PAZ DE RÍO,"-72,749137","5,987645"
15542,PESCA,"-73,050872","5,558808"
15550,PISBA,"-72,486023","5,72141"
15572,PUERTO BOYACÁ,"-74,587782","5,976646"
15580,QUÍPAMA,"-74,180033","5,52055"
15599,RAMIRIQUÍ,"-73,334839","5,400303"
15600,RÁQUIRA,"-73,632543","5,539136"
15621,RONDÓN,"-73,208474","5,357378"
15632,SABOYÁ,"-73,764456","5,697756"
15638,SÁCHICA,"-73,542539","5,584305"
15646,SAMACÁ,"-73,485589","5,492161"
15660,SAN EDUARDO,"-73,077747","5,22401"
15664,SAN JOSÉ DE PARE,"-73,545397","6,018924"
15667,SAN LUIS DE GACENO,"-73,168076","4,81976"
15673,SAN MATEO,"-72,555264","6,401683"
15676,SAN MIGUEL DE SEMA,"-73,722009","5,518083"
15681,SAN PABLO DE BORBUR,"-74,069963","5,650743"
15686,SANTANA,"-73,481639","6,056866"
15690,SANTA MARÍA,"-73,263518","4,857193"
15693,SANTA ROSA DE VITERBO,"-72,982461","5,874547"
15696,SANTA SOFÍA,"-73,602707","5,713269"
15720,SATIVANORTE,"-72,708458","6,131132"
15723,SATIVASUR,"-72,712435","6,093183"
15740,SIACHOQUE,"-73,24466","5,511811"
15753,SOATÁ,"-72,684051","6,331945"
15755,SOCOTÁ,"-72,636653","6,041162"
15757,SOCHA,"-72,691963","5,996717"
15759,SOGAMOSO,"-72,924355","5,723976"
15761,SOMONDOCO,"-73,433393","4,985726"
15762,SORA,"-73,450153","5,56684"
15763,SOTAQUIRÁ,"-73,246585","5,764986"
15764,SORACÁ,"-73,332804","5,500898"
15774,SUSACÓN,"-72,690289","6,230332"
15776,SUTAMARCHÁN,"-73,620536","5,619781"
15778,SUTATENZA,"-73,452317","5,022989"
15790,TASCO,"-72,781011","5,909821"
15798,TENZA,"-73,421176","5,076781"
15804,TIBANÁ,"-73,396457","5,317251"
15806,TIBASOSA,"-72,999449","5,74723"
15808,TINJACÁ,"-73,646847","5,579713"
15810,TIPACOQUE,"-72,691729","6,419203"
15814,TOCA,"-73,184794","5,566464"
15816,TOGÜÍ,"-73,513655","5,937438"
15820,TÓPAGA,"-72,832245","5,768201"
15822,TOTA,"-72,985898","5,560497"
15832,TUNUNGUÁ,"-73,933155","5,730582"
15835,TURMEQUÉ,"-73,491825","5,323261"
15837,TUTA,"-73,230285","5,689082"
15839,TUTAZÁ,"-72,856035","6,032608"
15842,ÚMBITA,"-73,456917","5,221176"
15861,VENTAQUEMADA,"-73,522368","5,368739"
15879,VIRACACHÁ,"-73,296894","5,436833"
15897,ZETAQUIRA,"-73,17098","5,283443"
